dataset_period,marketplace,brand_group,category_group,product_count,sales_index,units_index,avg_fee_pct_of_gross,avg_refund_pct_of_gross,avg_promotion_pct_of_gross,avg_net_to_gross_pct,margin_risk_score,revenue_quality_score
12m,Amazon,Pantene,Hair Care,14,100.0,100.0,24.6,4.6,3.9,81.6,9.5,73.2
12m,Amazon,Sunsilk,Hair Care,13,57.7,90.6,29.9,4.6,4.0,77.7,12.0,66.1
12m,Amazon,Vaseline,Body Care,9,57.1,62.5,25.4,4.1,3.9,81.5,9.8,73.0
12m,Amazon,Dove,Hair Care,12,54.4,81.4,29.2,4.9,4.0,78.3,11.4,68.1
12m,Amazon,Colgate,Oral Care,9,49.9,62.0,26.9,4.7,4.1,79.7,10.4,70.5
12m,Amazon,Oral-B,Oral Care,8,49.7,54.5,25.4,4.0,4.0,81.5,9.9,72.6
12m,Flipkart,Pantene,Hair Care,14,42.0,42.6,15.3,5.5,4.0,90.0,6.3,84.3
12m,Amazon,Senka,Skin Care,5,38.6,35.7,23.8,3.8,4.0,82.8,9.1,74.9
12m,Amazon,Watsons,Oral Care,10,36.8,72.6,33.6,4.7,3.9,75.1,13.0,63.7
12m,Amazon,Axe,Body Care,5,32.5,34.6,25.2,4.8,4.1,80.6,9.7,72.3
12m,Meesho,Pantene,Hair Care,14,31.6,34.2,13.2,3.6,4.1,93.8,5.6,87.7
12m,Flipkart,Sunsilk,Hair Care,13,25.3,40.0,15.7,3.3,4.0,93.2,6.5,86.4
12m,Flipkart,Vaseline,Body Care,9,25.3,28.5,15.3,3.6,4.2,91.7,6.3,86.0
12m,Flipkart,Dove,Hair Care,12,24.8,37.2,15.7,4.4,4.0,91.6,6.5,84.9
12m,Amazon,Tiger Balm,Health & Wellness,5,23.3,37.4,30.2,4.4,4.0,77.7,12.5,65.0
12m,Flipkart,Oral-B,Oral Care,8,22.8,25.5,15.4,4.4,4.0,91.4,6.3,85.2
12m,Flipkart,Colgate,Oral Care,9,22.2,28.0,15.5,4.8,4.0,90.7,6.4,84.8
12m,Amazon,Tresemme,Hair Care,3,21.7,20.4,23.9,4.0,4.1,82.4,9.1,74.7
12m,Website,Pantene,Hair Care,14,21.5,22.2,5.2,3.8,4.0,102.5,2.9,93.4
12m,JioMart,Pantene,Hair Care,14,21.1,22.1,11.3,4.3,4.0,94.5,5.0,88.6
12m,Amazon,Vaseline,Skin Care,3,20.8,21.0,24.5,3.3,4.0,82.6,9.3,74.5
12m,Amazon,Dove,Body Care,3,19.1,20.9,25.5,4.8,4.2,80.4,9.7,71.9
12m,Amazon,Rexona,Body Care,3,18.6,21.5,25.8,4.5,3.9,80.9,9.7,73.0
12m,Meesho,Sunsilk,Hair Care,13,18.4,30.9,13.8,4.9,3.9,93.9,5.9,86.9
12m,Amazon,Counterpain,Health & Wellness,3,18.2,21.2,26.0,4.3,3.9,80.6,10.2,71.8
12m,Meesho,Dove,Hair Care,12,17.2,28.0,13.8,3.8,3.9,94.6,5.8,88.0
12m,Amazon,NEXCARE,Skin Care,3,17.0,20.8,26.6,3.5,3.9,81.7,10.3,72.1
12m,Meesho,Vaseline,Body Care,9,16.7,19.9,13.5,4.6,4.0,93.1,5.7,87.4
12m,Flipkart,Senka,Skin Care,5,16.4,15.5,15.0,3.6,4.1,91.6,6.2,85.7
12m,Meesho,Colgate,Oral Care,9,16.1,21.1,13.5,3.8,4.2,93.5,5.7,87.5
12m,Amazon,Ora2,Oral Care,2,16.0,14.7,23.8,3.9,3.7,83.1,9.0,75.1
12m,Meesho,Oral-B,Oral Care,8,15.7,18.6,13.5,5.2,3.9,92.3,5.7,86.5
12m,Flipkart,Watsons,Oral Care,10,15.6,31.1,16.2,4.4,4.0,93.0,6.7,85.7
12m,Amazon,SHIVAMAX,Hair Care,2,15.4,14.5,24.1,4.9,3.9,81.3,9.2,73.6
12m,Amazon,Listerine,Oral Care,3,14.9,21.0,28.3,4.7,3.8,79.1,11.3,68.6
12m,Amazon,Sensodyne,Oral Care,2,14.9,13.8,24.0,4.9,4.1,81.7,9.1,73.7
12m,Flipkart,Axe,Body Care,5,14.8,16.1,15.3,3.9,4.0,91.3,6.3,85.2
12m,Website,Vaseline,Body Care,9,14.4,15.9,5.1,3.9,4.1,103.3,2.9,93.4
12m,Amazon,Fino,Hair Care,2,14.1,13.4,24.0,5.1,3.9,82.0,9.1,74.8
12m,Amazon,Protex,Body Care,4,13.3,29.0,35.3,4.5,3.8,74.7,13.1,63.9
12m,JioMart,Sunsilk,Hair Care,13,13.1,21.2,11.9,4.2,3.8,96.2,5.2,89.2
12m,Website,Sunsilk,Hair Care,13,12.7,20.6,5.7,4.1,4.0,104.3,3.2,93.3
12m,JioMart,Dove,Hair Care,12,12.6,19.4,11.7,4.6,4.1,94.9,5.2,88.2
12m,Amazon,SHIVAMAX,Health & Wellness,4,12.4,28.8,37.0,5.5,3.8,72.2,14.2,60.0
12m,Meesho,Senka,Skin Care,5,12.4,12.2,13.3,4.1,4.2,92.9,5.6,87.1
12m,Website,Dove,Hair Care,12,12.1,18.3,5.7,3.9,4.1,104.1,3.1,93.6
12m,JioMart,Vaseline,Body Care,9,12.0,13.7,11.5,4.3,4.0,95.3,5.0,89.2
12m,JioMart,Oral-B,Oral Care,8,11.6,13.4,11.3,3.0,4.0,96.5,4.9,89.9
12m,Amazon,SHIVAMAX,Home & Kitchen,4,11.3,28.3,38.8,4.8,4.2,71.4,15.1,58.0
12m,Meesho,Watsons,Oral Care,10,11.2,23.7,14.1,3.7,4.0,95.8,6.0,87.7
12m,Website,Colgate,Oral Care,9,11.2,14.4,5.4,4.2,3.9,102.9,3.0,93.4
