dataset_period,marketplace,category_group,subcategory_group,product_count,sales_index,units_index,avg_fee_pct_of_gross,avg_refund_pct_of_gross,avg_promotion_pct_of_gross,avg_net_to_gross_pct,margin_risk_score,revenue_quality_score
12m,Amazon,Hair Care,Conditioner / Treatment / Mask,25,100.0,100.0,25.0,4.6,3.9,81.3,9.8,72.3
12m,Amazon,Oral Care,Toothpaste,17,65.4,68.0,25.4,4.4,4.0,81.1,9.8,72.3
12m,Amazon,Body Care,Deodorant / Body Spray,15,51.3,60.9,26.8,4.5,4.1,79.9,10.3,71.0
12m,Flipkart,Hair Care,Conditioner / Treatment / Mask,25,44.2,45.1,15.3,4.3,4.1,91.1,6.3,85.0
12m,Meesho,Hair Care,Conditioner / Treatment / Mask,25,32.4,35.0,13.3,3.9,4.0,93.7,5.6,87.5
12m,Amazon,Skin Care,Face Cleanser / Face Wash,7,31.2,28.7,24.1,3.9,4.0,82.4,9.2,74.3
12m,Flipkart,Oral Care,Toothpaste,17,29.5,31.2,15.4,4.8,4.0,90.7,6.3,84.9
12m,Amazon,Hair Care,Shampoo,9,26.1,37.9,29.5,5.1,4.1,77.5,11.9,66.2
12m,Amazon,Skin Care,General / Uncategorized,8,25.1,33.2,28.1,4.5,4.0,79.5,11.2,68.8
12m,Amazon,Hair Care,General / Uncategorized,9,24.4,36.0,29.5,4.6,3.9,78.4,11.4,68.0
12m,Flipkart,Body Care,Deodorant / Body Spray,15,22.6,27.2,15.5,4.0,4.1,91.5,6.3,85.4
12m,Website,Hair Care,Conditioner / Treatment / Mask,25,22.5,23.2,5.3,4.4,4.0,102.3,3.0,92.6
12m,JioMart,Hair Care,Conditioner / Treatment / Mask,25,22.3,23.2,11.3,4.4,4.1,94.6,5.0,88.6
12m,Amazon,Body Care,General / Uncategorized,8,22.0,32.5,29.5,4.3,3.9,78.7,11.8,67.4
12m,Meesho,Oral Care,Toothpaste,17,20.4,22.8,13.4,4.7,4.1,92.6,5.7,86.7
12m,Amazon,Oral Care,Dental Floss,7,20.1,28.7,29.2,4.1,4.0,78.8,11.6,67.8
12m,Amazon,Health & Wellness,Pain Relief Balm,5,20.1,21.2,25.5,4.0,3.9,81.2,9.9,72.7
12m,Amazon,Health & Wellness,Herbal Inhaler,10,17.5,41.4,38.2,5.1,3.9,71.9,14.4,60.1
12m,Meesho,Body Care,Deodorant / Body Spray,15,15.3,19.5,13.6,4.6,3.9,93.5,5.7,87.5
12m,JioMart,Oral Care,Toothpaste,17,14.2,15.4,11.4,3.9,4.1,95.2,5.0,88.5
12m,Website,Oral Care,Toothpaste,17,14.1,15.2,5.4,3.9,3.9,103.0,3.0,93.5
12m,Amazon,Body Care,Body Wash,3,13.9,12.3,23.8,4.3,4.1,81.9,9.1,74.5
12m,Amazon,Hair Care,Hair Oil / Serum,4,13.4,16.2,26.9,4.5,4.0,80.3,10.6,70.6
12m,Flipkart,Skin Care,Face Cleanser / Face Wash,7,13.4,12.6,15.1,4.1,4.1,91.0,6.2,85.1
12m,Amazon,Oral Care,Dental Floss Picks,6,11.7,25.4,36.0,4.7,3.9,73.2,13.6,62.1
12m,JioMart,Body Care,Deodorant / Body Spray,15,11.4,13.9,11.4,4.5,3.8,95.6,5.0,88.6
12m,Website,Body Care,Deodorant / Body Spray,15,11.4,13.9,5.3,3.6,3.9,103.8,2.9,94.1
12m,Flipkart,Hair Care,Shampoo,9,10.7,15.7,15.7,4.2,4.0,92.4,6.5,86.3
12m,Flipkart,Skin Care,General / Uncategorized,8,10.5,14.1,15.7,4.7,3.9,90.9,6.4,84.9
12m,Flipkart,Hair Care,General / Uncategorized,9,10.3,15.6,15.9,5.7,3.9,90.5,6.6,84.2
12m,Meesho,Skin Care,Face Cleanser / Face Wash,7,10.0,9.8,13.4,4.8,4.1,92.5,5.7,86.5
12m,Flipkart,Body Care,General / Uncategorized,8,9.6,14.3,15.8,3.6,4.1,92.1,6.5,85.8
12m,Amazon,Oral Care,Mouthwash,3,9.0,12.2,28.3,4.7,3.8,79.1,11.3,68.6
12m,Flipkart,Oral Care,Dental Floss,7,8.7,12.6,15.8,4.8,3.9,91.7,6.6,85.0
12m,Amazon,Skin Care,Sunscreen,2,8.4,8.5,24.9,4.2,4.1,81.5,9.5,73.1
12m,Flipkart,Health & Wellness,Pain Relief Balm,5,8.1,8.8,15.4,5.1,4.0,90.5,6.4,84.1
12m,Meesho,Hair Care,Shampoo,9,7.9,12.7,13.8,5.3,3.9,93.3,5.9,86.4
12m,Meesho,Skin Care,General / Uncategorized,8,7.6,10.9,13.7,4.3,4.2,93.4,5.8,87.6
12m,Meesho,Hair Care,General / Uncategorized,9,7.5,12.1,13.8,3.8,3.9,94.6,5.8,87.8
12m,Flipkart,Health & Wellness,Herbal Inhaler,10,7.4,18.1,16.7,5.4,4.0,92.7,6.8,85.1
12m,Meesho,Body Care,General / Uncategorized,8,7.1,11.1,14.0,4.4,3.9,93.6,5.9,87.0
12m,Website,Skin Care,Face Cleanser / Face Wash,7,6.8,6.4,5.2,5.3,3.9,101.5,3.0,92.7
12m,JioMart,Skin Care,Face Cleanser / Face Wash,7,6.7,6.4,11.4,5.7,4.0,94.1,5.1,87.9
12m,Meesho,Health & Wellness,Pain Relief Balm,5,6.0,6.8,13.6,5.6,3.9,91.6,5.8,85.2
12m,Flipkart,Body Care,Body Wash,3,6.0,5.5,15.3,5.3,4.1,89.5,6.3,84.1
12m,Meesho,Oral Care,Dental Floss,7,5.9,9.2,13.9,5.4,3.6,93.4,5.9,87.0
12m,Website,Skin Care,General / Uncategorized,8,5.6,7.6,5.8,5.5,4.1,102.3,3.3,91.9
12m,Flipkart,Hair Care,Hair Oil / Serum,4,5.6,7.0,15.6,5.0,3.9,91.0,6.4,85.2
12m,Website,Hair Care,Shampoo,9,5.5,8.2,5.7,2.9,4.0,105.3,3.1,94.3
12m,Meesho,Health & Wellness,Herbal Inhaler,10,5.4,13.6,14.9,5.6,4.0,94.4,6.3,86.6
12m,JioMart,Hair Care,General / Uncategorized,9,5.4,8.5,12.0,3.9,4.1,95.5,5.2,89.3
12m,JioMart,Skin Care,General / Uncategorized,8,5.2,7.1,11.7,4.9,4.0,94.9,5.2,88.7
12m,JioMart,Hair Care,Shampoo,9,5.1,8.1,11.9,4.5,3.8,95.5,5.3,88.6
12m,Website,Hair Care,General / Uncategorized,9,5.0,7.7,5.8,3.7,4.0,104.0,3.1,93.9
