public_product_id,marketplace,brand_group,category_group,product_group,fee_pct_of_gross,refund_pct_of_gross,promotion_pct_of_gross,net_to_gross_pct,revenue_quality_score,revenue_quality_band,fee_review_flag,refund_review_flag,promotion_review_flag
P0573,Amazon,Pantene,Hair Care,Shampoo,24.0,4.7,3.9,81.7,73.8,Healthy,Monitor,Monitor,Monitor
P1109,Amazon,Vaseline,Body Care,Body Wash,23.8,3.2,3.8,82.9,75.4,Healthy,Monitor,Monitor,Monitor
P0566,Amazon,Pantene,Hair Care,Shampoo,24.7,5.3,4.1,80.6,73.4,Healthy,Monitor,Monitor,Monitor
P0546,Amazon,Ora2,Oral Care,Toothpaste,23.8,2.9,3.7,84.0,76.2,Healthy,Monitor,Monitor,Monitor
P0230,Amazon,Counterpain,Health & Wellness,Pain Relief,24.1,5.4,4.0,80.7,73.8,Healthy,Monitor,Monitor,Monitor
P0547,Amazon,Oral-B,Oral Care,Dental Floss,24.1,5.0,3.9,82.0,74.6,Healthy,Monitor,Monitor,Monitor
P0488,Amazon,Listerine,Oral Care,Mouthwash,24.1,5.6,3.8,81.0,73.1,Healthy,Monitor,Monitor,Monitor
P0906,Amazon,SHIVAMAX,Hair Care,Hair Conditioner & Treatment,24.0,4.3,3.9,81.8,74.0,Healthy,Monitor,Monitor,Monitor
P0602,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,23.7,5.9,3.8,81.5,73.9,Healthy,Monitor,Monitor,Monitor
P0781,Amazon,Senka,Skin Care,Face Cleanser,24.1,3.8,4.1,82.6,74.7,Healthy,Monitor,Monitor,Monitor
P0610,Amazon,Pantene,Hair Care,Hair Oil & Serum,24.0,5.2,3.8,81.8,73.6,Healthy,Monitor,Monitor,Monitor
P0529,Amazon,NEXCARE,Skin Care,General Product,23.7,3.2,3.8,83.9,76.0,Healthy,Monitor,Monitor,Monitor
P0795,Amazon,Senka,Skin Care,Face Cleanser,23.7,3.9,4.3,82.8,74.9,Healthy,Monitor,Monitor,Monitor
P0581,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,23.8,3.7,3.5,82.7,75.1,Healthy,Monitor,Monitor,Monitor
P0022,Amazon,Ambi Pur,Home & Kitchen,Air Freshener,23.8,3.6,4.3,82.5,74.7,Healthy,Monitor,Monitor,Monitor
P0797,Amazon,Sensodyne,Oral Care,Toothpaste,24.1,5.3,4.3,81.1,73.7,Healthy,Monitor,Monitor,Monitor
P0565,Amazon,Pair,Skin Care,General Product,24.6,5.5,4.1,81.1,72.6,Healthy,Monitor,Monitor,Monitor
P0780,Amazon,Senka,Skin Care,Face Cleanser,23.6,4.0,3.7,83.4,75.1,Healthy,Monitor,Monitor,Monitor
P0543,Amazon,Ora2,Oral Care,Toothpaste,23.8,5.0,3.6,82.1,74.1,Healthy,Monitor,Monitor,Monitor
P1162,Amazon,Vita Keratin,Hair Care,General Product,24.3,4.5,3.8,82.2,74.0,Healthy,Monitor,Monitor,Monitor
P0605,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,23.7,3.5,4.0,83.9,75.7,Healthy,Monitor,Monitor,Monitor
P0586,Amazon,Pantene,Hair Care,General Product,23.7,3.6,4.1,82.8,74.6,Healthy,Monitor,Monitor,Monitor
P1131,Amazon,Vaseline,Skin Care,Sunscreen,23.5,3.0,4.0,83.5,75.6,Healthy,Monitor,Monitor,Monitor
P1080,Amazon,Tresemme,Hair Care,Hair Conditioner & Treatment,23.8,3.7,3.8,83.0,75.3,Healthy,Monitor,Monitor,Monitor
P1069,Amazon,Tiger Balm,Health & Wellness,Pain Relief,24.8,4.7,3.9,81.6,73.4,Healthy,Monitor,Monitor,Monitor
P0342,Amazon,Fino,Hair Care,Hair Conditioner & Treatment,23.9,5.5,3.7,81.9,74.9,Healthy,Monitor,Monitor,Monitor
P0617,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,23.9,6.4,4.0,80.9,73.4,Healthy,Monitor,Monitor,Monitor
P1042,Amazon,Sunsilk,Hair Care,Hair Conditioner & Treatment,24.2,5.8,4.2,80.1,72.7,Healthy,Monitor,Monitor,Monitor
P0168,Amazon,Colgate,Oral Care,Toothpaste,23.6,3.2,4.2,82.1,74.8,Healthy,Monitor,Monitor,Monitor
P1121,Amazon,Vaseline,Body Care,Body Wash,23.8,4.8,4.0,81.2,73.9,Healthy,Monitor,Monitor,Monitor
P0042,Amazon,Axe,Body Care,Deodorant & Body Spray,24.0,3.6,3.7,82.7,74.7,Healthy,Monitor,Monitor,Monitor
P0783,Amazon,Senka,Skin Care,Face Cleanser,23.9,3.5,3.9,83.0,75.0,Healthy,Monitor,Monitor,Monitor
P1067,Amazon,Tiger Balm,Health & Wellness,Pain Relief,24.8,2.5,4.1,82.3,74.5,Healthy,Monitor,Monitor,Monitor
P0172,Amazon,Colgate,Oral Care,Toothpaste,24.2,6.3,4.4,79.8,72.4,Healthy,Monitor,Monitor,Monitor
P0604,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,24.6,4.1,4.0,82.1,74.4,Healthy,Monitor,Monitor,Monitor
P0562,Amazon,Oral-B,Oral Care,Toothpaste,23.7,3.8,4.1,82.9,74.6,Healthy,Monitor,Monitor,Monitor
P1048,Amazon,Sunsilk,Hair Care,Hair Conditioner & Treatment,23.7,3.6,4.0,82.7,74.8,Healthy,Monitor,Monitor,Monitor
P0777,Amazon,Senka,Skin Care,Face Cleanser,23.9,3.6,4.0,82.3,74.9,Healthy,Monitor,Monitor,Monitor
P0263,Amazon,Dove,Hair Care,Hair Conditioner & Treatment,24.2,5.7,4.0,80.7,73.4,Healthy,Monitor,Monitor,Monitor
P1156,Amazon,Vaseline,Body Care,Body Lotion,24.0,4.6,3.6,82.5,74.6,Healthy,Monitor,Monitor,Monitor
P0590,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,23.8,3.5,3.8,83.5,75.2,Healthy,Monitor,Monitor,Monitor
P0553,Amazon,Oral-B,Oral Care,Toothpaste,24.0,3.2,3.9,83.6,75.6,Healthy,Monitor,Monitor,Monitor
P0252,Amazon,Dove,Hair Care,Hair Conditioner & Treatment,23.8,5.6,4.2,81.1,73.2,Healthy,Monitor,Monitor,Monitor
P1075,Amazon,Tresemme,Hair Care,Shampoo,23.8,5.1,4.2,81.2,73.6,Healthy,Monitor,Monitor,Monitor
P0922,Amazon,SHIVAMAX,Hair Care,Hair Conditioner & Treatment,24.3,5.6,3.8,80.9,73.1,Healthy,Monitor,Monitor,Monitor
P0279,Amazon,Dove,Body Care,General Product,23.9,4.1,4.1,82.2,74.2,Healthy,Monitor,Monitor,Monitor
P1105,Amazon,Vaseline,Body Care,Body Wash,23.8,5.0,4.4,81.6,74.2,Healthy,Monitor,Monitor,Monitor
P0041,Amazon,Axe,Body Care,Deodorant & Body Spray,24.1,4.0,4.2,82.0,74.5,Healthy,Monitor,Monitor,Monitor
P0029,Amazon,Axe,Body Care,Deodorant & Body Spray,23.6,4.9,4.1,81.7,74.1,Healthy,Monitor,Monitor,Monitor
P1146,Amazon,Vaseline,Body Care,General Product,23.8,3.0,3.8,84.4,75.9,Healthy,Monitor,Monitor,Monitor
P0554,Amazon,Oral-B,Oral Care,Dental Floss,23.8,3.0,4.0,83.5,75.2,Healthy,Monitor,Monitor,Monitor
P0594,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,23.9,5.5,4.2,80.6,72.6,Healthy,Monitor,Monitor,Monitor
P1044,Amazon,Sunsilk,Hair Care,Hair Conditioner & Treatment,24.2,3.8,3.8,82.7,75.0,Healthy,Monitor,Monitor,Monitor
P0813,Amazon,Sensodyne,Oral Care,Toothpaste,23.9,4.6,3.9,82.3,73.8,Healthy,Monitor,Monitor,Monitor
P0753,Amazon,Rexona,Body Care,Deodorant & Body Spray,25.7,4.7,3.8,81.1,72.8,Healthy,Review,Monitor,Monitor
P0260,Amazon,Dove,Hair Care,Hair Conditioner & Treatment,23.8,2.6,3.8,84.5,76.5,Healthy,Monitor,Monitor,Monitor
