public_product_id,marketplace,brand_group,category_group,product_group,inventory_band,units_index,sales_index,margin_risk_band,revenue_quality_band,restock_priority,recommended_action,action_priority,action_reason
P0753,Amazon,Rexona,Body Care,Deodorant & Body Spray,Out of Stock / 0,100.0,84.9,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0566,Amazon,Pantene,Hair Care,Shampoo,Very Low / 1-2,98.0,98.9,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1196,Amazon,Watsons,Oral Care,Floss Picks,Very Low / 1-2,97.1,53.8,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0534,Amazon,Nexcare,Skin Care,General Product,Low / 3-5,95.5,81.2,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1249,Amazon,Watsons,Oral Care,Floss Picks,Out of Stock / 0,95.3,35.4,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0690,Amazon,Protex,Body Care,General Product,Very Low / 1-2,94.7,40.0,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0573,Amazon,Pantene,Hair Care,Shampoo,Very Low / 1-2,94.3,100.0,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1200,Amazon,Watsons,Oral Care,Dental Floss,Low / 3-5,94.1,34.9,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1109,Amazon,Vaseline,Body Care,Body Wash,Very Low / 1-2,93.9,99.3,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0082,Amazon,Biore,Skin Care,Sunscreen,Very High / 51+,93.9,74.5,Low Risk,Healthy,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0546,Amazon,Ora2,Oral Care,Toothpaste,Out of Stock / 0,93.5,98.9,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1035,Amazon,Sunsilk,Hair Care,Shampoo,High / 16-50,93.3,39.3,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P1032,Amazon,Sunsilk,Hair Care,Shampoo,High / 16-50,92.9,39.3,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
P0230,Amazon,Counterpain,Health & Wellness,Pain Relief,Out of Stock / 0,92.7,98.3,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0547,Amazon,Oral-B,Oral Care,Dental Floss,Low / 3-5,92.7,97.8,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0565,Amazon,Pair,Skin Care,General Product,Out of Stock / 0,92.4,93.3,Low Risk,Healthy,Monitor,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1072,Amazon,Tiger Balm,Health & Wellness,Herbal Inhaler,High / 16-50,92.4,34.2,Low Risk,Watch,Monitor,Fee Review,High,High sales-index product with elevated fee percentage.
