public_product_id,marketplace,brand_group,category_group,product_group,listing_price_band,inventory_band,sales_index,units_index,fee_pct_of_gross,refund_pct_of_gross,promotion_pct_of_gross,net_to_gross_pct,margin_risk_score,margin_risk_band,revenue_quality_score,recommended_action,action_priority,action_reason
P0927,Amazon,SHIVAMAX,Home & Kitchen,Adhesive Hooks,<500,Medium / 6-15,22.0,83.1,50.0,3.6,4.2,63.5,18.9,Low Risk,49.1,Fee Review,High,High sales-index product with elevated fee percentage.
P0917,Amazon,SHIVAMAX,Home & Kitchen,Adhesive Hooks,<500,Low / 3-5,28.2,88.8,44.8,5.5,4.0,67.1,16.6,Low Risk,54.4,Fee Review,High,High sales-index product with elevated fee percentage.
P0932,Amazon,SHIVAMAX,Electronics & Travel Accessories,Travel Adapter,<500,Very High / 51+,28.2,88.8,43.5,2.8,4.0,69.5,16.3,Low Risk,56.4,Fee Review,High,High sales-index product with elevated fee percentage.
P0889,Amazon,SHIVAMAX,Health & Wellness,Herbal Inhaler,<500,Very High / 51+,29.4,92.4,44.1,5.6,4.1,67.1,16.2,Low Risk,55.2,Fee Review,High,High sales-index product with elevated fee percentage.
P0915,Amazon,SHIVAMAX,Health & Wellness,Herbal Inhaler,<500,Medium / 6-15,27.9,88.2,43.9,5.5,3.6,68.2,16.1,Low Risk,55.1,Fee Review,High,High sales-index product with elevated fee percentage.
P0536,Amazon,NOVOLIFE,Health & Wellness,Herbal Inhaler,<500,Very Low / 1-2,26.0,81.8,43.0,4.3,4.0,69.5,16.0,Low Risk,57.1,Fee Review,High,High sales-index product with elevated fee percentage.
P1200,Amazon,Watsons,Oral Care,Dental Floss,<500,Low / 3-5,34.9,94.1,40.4,5.9,4.2,68.9,14.9,Low Risk,58.0,Fee Review,High,High sales-index product with elevated fee percentage.
P1070,Amazon,Tiger Balm,Health & Wellness,Herbal Inhaler,<500,Medium / 6-15,33.0,89.0,39.9,6.2,4.2,69.4,14.7,Low Risk,58.4,Fee Review,High,High sales-index product with elevated fee percentage.
P1071,Amazon,Tiger Balm,Health & Wellness,Herbal Inhaler,<500,High / 16-50,32.4,88.0,40.4,6.2,3.8,69.8,14.7,Low Risk,58.4,Fee Review,High,High sales-index product with elevated fee percentage.
P1072,Amazon,Tiger Balm,Health & Wellness,Herbal Inhaler,<500,High / 16-50,34.2,92.4,39.7,5.0,4.3,70.6,14.6,Low Risk,59.3,Fee Review,High,High sales-index product with elevated fee percentage.
P1251,Amazon,Watsons,Oral Care,Floss Picks,<500,Out of Stock / 0,32.4,87.3,39.2,3.8,4.1,70.6,14.6,Low Risk,58.9,Fee Review,High,High sales-index product with elevated fee percentage.
P1214,Amazon,Watsons,Oral Care,Floss Picks,<500,Very Low / 1-2,31.9,85.9,39.4,3.3,4.3,72.5,14.6,Low Risk,60.9,Fee Review,High,High sales-index product with elevated fee percentage.
P1218,Amazon,Watsons,Oral Care,Floss Picks,<500,Low / 3-5,33.0,89.0,39.2,4.9,3.7,71.4,14.5,Low Risk,60.1,Fee Review,High,High sales-index product with elevated fee percentage.
P1249,Amazon,Watsons,Oral Care,Floss Picks,<500,Out of Stock / 0,35.4,95.3,39.1,4.3,3.6,72.1,14.4,Low Risk,60.6,Fee Review,High,High sales-index product with elevated fee percentage.
P0427,Amazon,Kaowmanee,Skin Care,General Product,<500,Out of Stock / 0,34.5,90.4,38.8,6.3,4.1,70.8,14.3,Low Risk,60.0,Fee Review,High,High sales-index product with elevated fee percentage.
P1032,Amazon,Sunsilk,Hair Care,Shampoo,<500,High / 16-50,39.3,92.9,37.2,4.2,3.9,73.6,13.7,Low Risk,61.7,Fee Review,High,High sales-index product with elevated fee percentage.
P1026,Amazon,Sunsilk,Hair Care,Hair Conditioner & Treatment,<500,Low / 3-5,32.9,79.6,37.0,3.7,3.9,73.6,13.7,Low Risk,61.8,Fee Review,High,High sales-index product with elevated fee percentage.
P1035,Amazon,Sunsilk,Hair Care,Shampoo,<500,High / 16-50,39.3,93.3,36.7,3.6,4.0,74.5,13.6,Low Risk,63.4,Fee Review,High,High sales-index product with elevated fee percentage.
P1052,Amazon,Sunsilk,Hair Care,Shampoo,<500,Out of Stock / 0,35.2,83.3,37.0,4.4,3.9,72.6,13.6,Low Risk,61.4,Fee Review,High,High sales-index product with elevated fee percentage.
P1038,Amazon,Sunsilk,Hair Care,Hair Conditioner & Treatment,<500,Out of Stock / 0,34.2,80.2,36.7,4.7,4.4,72.0,13.6,Low Risk,60.9,Fee Review,High,High sales-index product with elevated fee percentage.
P0690,Amazon,Protex,Body Care,General Product,<500,Very Low / 1-2,40.0,94.7,36.4,5.6,4.2,72.6,13.5,Low Risk,61.5,Fee Review,High,High sales-index product with elevated fee percentage.
P1164,Amazon,Wangprom,Health & Wellness,Herbal Inhaler,<500,Out of Stock / 0,38.0,89.8,36.4,4.0,4.0,74.0,13.5,Low Risk,63.7,Fee Review,High,High sales-index product with elevated fee percentage.
P0720,Amazon,Protex,Body Care,General Product,<500,Very Low / 1-2,37.9,89.4,36.5,3.9,4.0,74.6,13.5,Low Risk,63.2,Fee Review,High,High sales-index product with elevated fee percentage.
P1041,Amazon,Sunsilk,Hair Care,Shampoo,<500,Out of Stock / 0,37.7,88.8,36.3,5.1,4.3,73.0,13.5,Low Risk,62.2,Fee Review,High,High sales-index product with elevated fee percentage.
P0475,Amazon,Listerine,Oral Care,Mouthwash,<500,Low / 3-5,37.6,88.6,36.3,3.1,3.7,74.7,13.5,Low Risk,63.4,Fee Review,High,High sales-index product with elevated fee percentage.
P0679,Amazon,Poy Sian,Health & Wellness,Herbal Inhaler,<500,Medium / 6-15,34.4,81.0,36.2,2.6,3.6,75.7,13.5,Low Risk,64.5,Fee Review,High,High sales-index product with elevated fee percentage.
P1029,Amazon,Sunsilk,Hair Care,Shampoo,<500,High / 16-50,35.8,84.3,36.5,5.2,3.7,72.5,13.4,Low Risk,62.5,Fee Review,High,High sales-index product with elevated fee percentage.
P0868,Amazon,SHIVAMAX,Home & Kitchen,General Product,<500,Medium / 6-15,39.7,88.4,35.7,6.1,4.2,72.7,13.2,Low Risk,61.6,Fee Review,High,High sales-index product with elevated fee percentage.
P1003,Amazon,Snake Brand,Body Care,General Product,<500,Out of Stock / 0,40.7,85.3,34.5,3.7,4.1,75.3,12.9,Low Risk,64.9,Fee Review,High,High sales-index product with elevated fee percentage.
