dataset_period,transaction_month,marketplace,total_orders,product_count,sales_index,units_index,avg_fee_pct_of_gross,avg_refund_pct_of_gross,avg_promotion_pct_of_gross,avg_net_to_gross_pct,margin_risk_score,revenue_quality_score
12m,2025-07,Amazon,4580,152,100.0,100.0,27.2,2.8,4.0,77.6,11.0,70.7
12m,2025-07,Flipkart,1948,152,41.8,42.8,15.4,2.5,4.1,88.7,6.3,87.5
12m,2025-07,JioMart,1010,152,21.3,21.5,11.5,3.5,4.2,94.0,5.0,90.3
12m,2025-07,Meesho,1482,152,30.1,32.0,13.4,3.0,4.0,91.4,5.6,88.9
12m,2025-07,Website,980,152,20.6,21.2,5.5,3.2,4.1,100.3,3.0,94.7
12m,2025-08,Amazon,4482,152,97.3,97.6,27.3,4.4,4.0,75.3,11.0,69.3
12m,2025-08,Flipkart,1976,152,41.2,42.0,15.6,4.6,3.9,87.0,6.5,85.0
12m,2025-08,JioMart,1030,152,21.5,22.6,11.6,4.4,4.1,91.3,5.2,88.5
12m,2025-08,Meesho,1542,152,30.9,33.4,13.7,4.7,4.0,89.2,5.8,87.6
12m,2025-08,Website,970,151,19.9,20.4,5.6,4.2,4.0,98.8,3.2,92.9
12m,2025-09,Amazon,4535,152,98.7,98.1,27.2,4.4,4.0,76.4,10.9,69.4
12m,2025-09,Flipkart,1970,152,42.1,42.5,15.5,4.8,4.1,87.9,6.4,85.0
12m,2025-09,JioMart,977,152,20.4,21.1,11.5,4.0,3.9,91.2,5.0,89.9
12m,2025-09,Meesho,1459,152,29.7,31.9,13.7,4.4,4.0,89.2,5.8,86.9
12m,2025-09,Website,1059,152,23.1,23.3,5.5,4.2,3.9,100.6,3.1,93.3
12m,2025-10,Amazon,4522,152,98.1,98.7,27.4,4.2,3.8,75.5,11.0,69.4
12m,2025-10,Flipkart,1932,152,41.3,41.7,15.4,3.6,3.9,88.2,6.4,85.9
12m,2025-10,JioMart,1036,152,21.5,22.2,11.5,4.2,3.9,92.6,5.1,89.0
12m,2025-10,Meesho,1469,152,29.3,31.1,13.6,4.0,4.0,89.6,5.8,87.1
12m,2025-10,Website,1041,151,22.3,22.9,5.5,5.0,4.1,98.1,3.2,92.3
12m,2025-11,Amazon,4487,152,97.4,97.3,27.4,4.3,4.1,75.6,11.1,69.2
12m,2025-11,Flipkart,1977,152,41.8,42.7,15.6,4.4,4.0,87.1,6.4,85.2
12m,2025-11,JioMart,1045,152,21.6,22.7,11.6,3.5,4.3,92.4,5.1,89.5
12m,2025-11,Meesho,1504,152,30.4,32.9,13.5,3.8,4.0,90.3,5.7,88.1
12m,2025-11,Website,987,152,20.6,21.4,5.5,3.9,4.0,99.3,3.1,93.1
12m,2025-12,Amazon,4432,152,95.6,96.6,27.5,5.2,4.1,75.0,11.1,68.4
12m,2025-12,Flipkart,2049,152,43.6,44.5,15.7,5.1,4.1,87.3,6.5,84.3
12m,2025-12,JioMart,989,152,20.3,21.2,11.6,4.6,3.8,91.0,5.2,88.0
12m,2025-12,Meesho,1515,152,30.8,32.8,13.6,4.7,3.8,89.1,5.8,86.6
12m,2025-12,Website,1015,152,21.6,21.9,5.5,4.4,4.2,99.3,3.2,92.4
12m,2026-01,Amazon,4499,152,96.2,96.4,27.3,4.0,3.9,76.0,11.0,69.7
12m,2026-01,Flipkart,1969,152,41.8,42.6,15.5,3.9,3.9,87.5,6.4,85.4
12m,2026-01,JioMart,1039,152,21.6,22.4,11.7,5.2,4.1,90.3,5.2,88.3
12m,2026-01,Meesho,1498,152,30.5,32.6,13.6,5.0,4.1,87.8,5.8,86.8
12m,2026-01,Website,995,152,21.4,22.0,5.5,5.0,4.0,97.4,3.2,92.5
12m,2026-02,Amazon,4474,152,97.0,96.4,27.2,4.1,4.1,77.4,11.0,69.4
12m,2026-02,Flipkart,1988,152,42.6,43.1,15.6,5.0,4.1,87.0,6.5,84.9
12m,2026-02,JioMart,1004,151,21.0,22.1,11.5,3.6,3.9,92.0,5.1,89.4
12m,2026-02,Meesho,1499,152,30.0,32.6,13.7,4.9,4.0,89.5,5.8,86.9
12m,2026-02,Website,1035,151,22.5,22.9,5.4,3.9,4.1,100.0,3.1,93.4
12m,2026-03,Amazon,4478,152,96.3,96.8,27.4,4.8,3.9,75.1,11.1,68.7
12m,2026-03,Flipkart,2009,152,42.3,43.1,15.6,5.3,4.1,86.2,6.5,84.6
12m,2026-03,JioMart,985,152,20.7,21.5,11.6,4.8,3.9,89.9,5.2,87.7
12m,2026-03,Meesho,1520,152,30.5,33.1,13.6,4.8,4.1,87.3,5.9,86.1
12m,2026-03,Website,1008,151,21.1,21.6,5.5,4.2,4.1,97.6,3.1,93.3
12m,2026-04,Amazon,4586,152,99.5,99.4,27.3,4.5,4.0,75.9,11.1,68.9
12m,2026-04,Flipkart,1927,152,41.1,41.8,15.5,4.5,4.0,87.8,6.4,85.4
12m,2026-04,JioMart,967,152,19.8,20.7,11.7,4.7,4.1,91.2,5.1,89.0
12m,2026-04,Meesho,1509,152,29.9,32.4,13.7,4.1,4.0,90.3,5.8,87.6
12m,2026-04,Website,1011,152,21.7,22.1,5.5,3.3,4.0,99.8,3.1,93.9
12m,2026-05,Amazon,4452,152,96.4,96.5,27.5,5.2,4.0,74.9,11.1,68.9
12m,2026-05,Flipkart,1995,152,41.5,42.6,15.7,5.3,4.1,86.3,6.5,84.5
12m,2026-05,JioMart,1037,152,21.7,22.5,11.6,4.2,4.0,92.2,5.1,88.9
12m,2026-05,Meesho,1501,152,29.4,32.3,13.7,4.5,4.0,88.9,5.8,87.6
12m,2026-05,Website,1015,152,21.0,21.7,5.6,4.4,4.0,99.7,3.1,93.5
12m,2026-06,Amazon,4539,152,97.2,97.1,27.3,4.1,4.0,76.8,11.0,69.4
