marketplace,metric,metric_label,previous_value,current_value,abs_variance,pct_variance,contribution_share_pct,movement
Amazon,sales_index,Sales Index,96.4,97.2,0.8,0.83,29.6,Improvement
Flipkart,sales_index,Sales Index,41.5,42.4,0.9,2.17,33.3,Improvement
JioMart,sales_index,Sales Index,21.7,21.2,-0.5,-2.3,18.5,Deterioration
Meesho,sales_index,Sales Index,29.4,29.1,-0.3,-1.02,11.1,Deterioration
Website,sales_index,Sales Index,21.0,20.8,-0.2,-0.95,7.4,Deterioration
Amazon,units_index,Units Index,96.5,97.1,0.6,0.62,28.6,Improvement
Flipkart,units_index,Units Index,42.6,43.0,0.4,0.94,19.0,Improvement
JioMart,units_index,Units Index,22.5,22.1,-0.4,-1.78,19.0,Deterioration
Meesho,units_index,Units Index,32.3,31.6,-0.7,-2.17,33.3,Deterioration
Website,units_index,Units Index,21.7,21.7,0.0,0.0,0.0,No Change
Amazon,fee_pct_of_gross,Fee % of Gross,27.5,27.3,-0.2,-0.73,40.0,Improvement
Flipkart,fee_pct_of_gross,Fee % of Gross,15.7,15.4,-0.3,-1.91,60.0,Improvement
JioMart,fee_pct_of_gross,Fee % of Gross,11.6,11.6,0.0,0.0,0.0,No Change
Meesho,fee_pct_of_gross,Fee % of Gross,13.7,13.7,0.0,0.0,0.0,No Change
Website,fee_pct_of_gross,Fee % of Gross,5.6,5.6,0.0,0.0,0.0,No Change
Amazon,refund_pct_of_gross,Refund % of Gross,5.2,4.1,-1.1,-21.15,39.3,Improvement
Flipkart,refund_pct_of_gross,Refund % of Gross,5.3,4.4,-0.9,-16.98,32.1,Improvement
JioMart,refund_pct_of_gross,Refund % of Gross,4.2,4.2,0.0,0.0,0.0,No Change
Meesho,refund_pct_of_gross,Refund % of Gross,4.5,5.3,0.8,17.78,28.6,Deterioration
Website,refund_pct_of_gross,Refund % of Gross,4.4,4.4,0.0,0.0,0.0,No Change
Amazon,promotion_pct_of_gross,Promotion % of Gross,4.0,4.0,0.0,0.0,0.0,No Change
Flipkart,promotion_pct_of_gross,Promotion % of Gross,4.1,4.1,0.0,0.0,0.0,No Change
JioMart,promotion_pct_of_gross,Promotion % of Gross,4.0,4.1,0.1,2.5,25.0,Deterioration
Meesho,promotion_pct_of_gross,Promotion % of Gross,4.0,3.9,-0.1,-2.5,25.0,Improvement
Website,promotion_pct_of_gross,Promotion % of Gross,4.0,3.8,-0.2,-5.0,50.0,Improvement
Amazon,net_to_gross_pct,Net-to-Gross %,74.9,76.8,1.9,2.54,40.4,Improvement
Flipkart,net_to_gross_pct,Net-to-Gross %,86.3,87.6,1.3,1.51,27.7,Improvement
JioMart,net_to_gross_pct,Net-to-Gross %,92.2,92.0,-0.2,-0.22,4.3,Deterioration
Meesho,net_to_gross_pct,Net-to-Gross %,88.9,89.1,0.2,0.22,4.3,Improvement
Website,net_to_gross_pct,Net-to-Gross %,99.7,98.6,-1.1,-1.1,23.4,Deterioration
Amazon,margin_risk_score,Margin Risk Score,11.1,11.0,-0.1,-0.9,33.3,Improvement
Flipkart,margin_risk_score,Margin Risk Score,6.5,6.5,0.0,0.0,0.0,No Change
JioMart,margin_risk_score,Margin Risk Score,5.1,5.1,0.0,0.0,0.0,No Change
Meesho,margin_risk_score,Margin Risk Score,5.8,5.9,0.1,1.72,33.3,Deterioration
Website,margin_risk_score,Margin Risk Score,3.1,3.2,0.1,3.23,33.3,Deterioration
Amazon,revenue_quality_score,Revenue Quality Score,68.9,69.4,0.5,0.73,14.7,Improvement
Flipkart,revenue_quality_score,Revenue Quality Score,84.5,85.0,0.5,0.59,14.7,Improvement
JioMart,revenue_quality_score,Revenue Quality Score,88.9,89.0,0.1,0.11,2.9,Improvement
Meesho,revenue_quality_score,Revenue Quality Score,87.6,86.4,-1.2,-1.37,35.3,Deterioration
Website,revenue_quality_score,Revenue Quality Score,93.5,92.4,-1.1,-1.18,32.4,Deterioration
Amazon,estimated_profitability_index,Estimated Profitability Index,82.1,84.1,2.0,2.44,44.4,Improvement
Flipkart,estimated_profitability_index,Estimated Profitability Index,70.2,71.6,1.4,1.99,31.1,Improvement
JioMart,estimated_profitability_index,Estimated Profitability Index,65.0,64.7,-0.3,-0.46,6.7,Deterioration
Meesho,estimated_profitability_index,Estimated Profitability Index,66.7,66.4,-0.3,-0.45,6.7,Deterioration
Website,estimated_profitability_index,Estimated Profitability Index,69.2,68.7,-0.5,-0.72,11.1,Deterioration
