public_product_id,marketplace,brand_group,category_group,metric,metric_label,previous_value,current_value,abs_variance,pct_variance,contribution_share_pct,movement
P0022,Amazon,Ambi Pur,Home & Kitchen,sales_index,Sales Index,61.0,50.4,-10.6,-17.38,0.2,Deterioration
P0022,Flipkart,Ambi Pur,Home & Kitchen,sales_index,Sales Index,14.9,21.3,6.4,42.95,0.2,Improvement
P0022,JioMart,Ambi Pur,Home & Kitchen,sales_index,Sales Index,20.7,10.7,-10.0,-48.31,0.2,Deterioration
P0022,Meesho,Ambi Pur,Home & Kitchen,sales_index,Sales Index,18.5,25.0,6.5,35.14,0.2,Improvement
P0022,Website,Ambi Pur,Home & Kitchen,sales_index,Sales Index,11.7,1.7,-10.0,-85.47,0.2,Deterioration
P0024,Amazon,AR,Skin Care,sales_index,Sales Index,24.6,31.8,7.2,29.27,0.2,Improvement
P0024,Flipkart,AR,Skin Care,sales_index,Sales Index,11.3,15.2,3.9,34.51,0.1,Improvement
P0024,JioMart,AR,Skin Care,sales_index,Sales Index,3.2,7.2,4.0,125.0,0.1,Improvement
P0024,Meesho,AR,Skin Care,sales_index,Sales Index,9.1,7.9,-1.2,-13.19,0.0,Deterioration
P0024,Website,AR,Skin Care,sales_index,Sales Index,5.9,6.6,0.7,11.86,0.0,Improvement
P0029,Amazon,Axe,Body Care,sales_index,Sales Index,47.3,63.4,16.1,34.04,0.4,Improvement
P0029,Flipkart,Axe,Body Care,sales_index,Sales Index,15.0,16.7,1.7,11.33,0.0,Improvement
P0029,JioMart,Axe,Body Care,sales_index,Sales Index,12.8,12.8,0.0,0.0,0.0,No Change
P0029,Meesho,Axe,Body Care,sales_index,Sales Index,19.6,12.5,-7.1,-36.22,0.2,Deterioration
P0029,Website,Axe,Body Care,sales_index,Sales Index,14.3,5.0,-9.3,-65.03,0.2,Deterioration
P0034,Amazon,Axe,Body Care,sales_index,Sales Index,43.1,49.4,6.3,14.62,0.1,Improvement
P0034,Flipkart,Axe,Body Care,sales_index,Sales Index,18.5,19.7,1.2,6.49,0.0,Improvement
P0034,JioMart,Axe,Body Care,sales_index,Sales Index,6.8,11.3,4.5,66.18,0.1,Improvement
P0034,Meesho,Axe,Body Care,sales_index,Sales Index,6.3,20.1,13.8,219.05,0.3,Improvement
P0034,Website,Axe,Body Care,sales_index,Sales Index,8.0,6.8,-1.2,-15.0,0.0,Deterioration
P0039,Amazon,Axe,Body Care,sales_index,Sales Index,38.8,26.7,-12.1,-31.19,0.3,Deterioration
P0039,Flipkart,Axe,Body Care,sales_index,Sales Index,16.1,27.1,11.0,68.32,0.3,Improvement
P0039,JioMart,Axe,Body Care,sales_index,Sales Index,7.6,6.5,-1.1,-14.47,0.0,Deterioration
P0039,Meesho,Axe,Body Care,sales_index,Sales Index,13.5,12.5,-1.0,-7.41,0.0,Deterioration
P0039,Website,Axe,Body Care,sales_index,Sales Index,18.5,11.7,-6.8,-36.76,0.2,Deterioration
P0041,Amazon,Axe,Body Care,sales_index,Sales Index,50.2,31.4,-18.8,-37.45,0.4,Deterioration
P0041,Flipkart,Axe,Body Care,sales_index,Sales Index,18.4,19.5,1.1,5.98,0.0,Improvement
P0041,JioMart,Axe,Body Care,sales_index,Sales Index,22.3,14.0,-8.3,-37.22,0.2,Deterioration
P0041,Meesho,Axe,Body Care,sales_index,Sales Index,18.6,9.5,-9.1,-48.92,0.2,Deterioration
P0041,Website,Axe,Body Care,sales_index,Sales Index,12.8,13.4,0.6,4.69,0.0,Improvement
P0042,Amazon,Axe,Body Care,sales_index,Sales Index,50.7,63.9,13.2,26.04,0.3,Improvement
P0042,Flipkart,Axe,Body Care,sales_index,Sales Index,34.0,34.7,0.7,2.06,0.0,Improvement
P0042,JioMart,Axe,Body Care,sales_index,Sales Index,13.4,11.0,-2.4,-17.91,0.1,Deterioration
P0042,Meesho,Axe,Body Care,sales_index,Sales Index,10.7,17.1,6.4,59.81,0.2,Improvement
P0042,Website,Axe,Body Care,sales_index,Sales Index,9.5,8.0,-1.5,-15.79,0.0,Deterioration
P0082,Amazon,Biore,Skin Care,sales_index,Sales Index,43.8,47.2,3.4,7.76,0.1,Improvement
P0082,Flipkart,Biore,Skin Care,sales_index,Sales Index,13.7,23.2,9.5,69.34,0.2,Improvement
P0082,JioMart,Biore,Skin Care,sales_index,Sales Index,8.4,16.1,7.7,91.67,0.2,Improvement
P0082,Meesho,Biore,Skin Care,sales_index,Sales Index,12.7,11.7,-1.0,-7.87,0.0,Deterioration
P0082,Website,Biore,Skin Care,sales_index,Sales Index,7.3,9.7,2.4,32.88,0.1,Improvement
P0156,Amazon,Colgate,Oral Care,sales_index,Sales Index,51.3,59.0,7.7,15.01,0.2,Improvement
P0156,Flipkart,Colgate,Oral Care,sales_index,Sales Index,14.7,22.0,7.3,49.66,0.2,Improvement
