dataset_period,marketplace,category_group,brand_group,product_group,product_count,sales_index,units_index,margin_index,estimated_profitability_index,margin_band_public,profitability_band_public,margin_risk_score,margin_risk_band,revenue_quality_score,revenue_quality_band
12m,Amazon,Electronics & Travel Accessories,SHIVAMAX,Travel Adapter,1,3.7,11.5,2.7,42.0,Unmapped,Unmapped,16.3,Low Risk,56.4,Watch
12m,Amazon,Health & Wellness,NOVOLIFE,Herbal Inhaler,1,3.4,10.6,2.5,41.8,Unmapped,Unmapped,16.0,Low Risk,57.1,Watch
12m,Amazon,Home & Kitchen,SHIVAMAX,Adhesive Hooks,3,12.5,33.6,9.6,45.6,Unmapped,Unmapped,15.8,Low Risk,56.8,Watch
12m,Amazon,Health & Wellness,Tiger Balm,Herbal Inhaler,3,13.0,35.0,9.7,45.1,Unmapped,Unmapped,14.7,Low Risk,58.7,Watch
12m,Amazon,Skin Care,Kaowmanee,General Product,1,4.5,11.7,3.4,43.1,Unmapped,Unmapped,14.3,Low Risk,60.0,Watch
12m,Amazon,Health & Wellness,SHIVAMAX,Herbal Inhaler,4,19.4,45.9,15.5,48.8,Unmapped,Unmapped,14.2,Low Risk,60.0,Watch
12m,Amazon,Oral Care,Watsons,Floss Picks,6,30.2,69.8,24.9,53.2,Unmapped,Unmapped,13.6,Low Risk,62.1,Watch
12m,Amazon,Hair Care,Sunsilk,Shampoo,5,24.4,57.5,19.9,51.2,Unmapped,Unmapped,13.6,Low Risk,62.2,Watch
12m,Amazon,Health & Wellness,Wangprom,Herbal Inhaler,1,4.9,11.7,4.1,45.3,Unmapped,Unmapped,13.5,Low Risk,63.7,Watch
12m,Amazon,Health & Wellness,Poy Sian,Herbal Inhaler,1,4.5,10.5,3.8,46.0,Unmapped,Unmapped,13.5,Low Risk,64.5,Watch
12m,Amazon,Home & Kitchen,SHIVAMAX,General Product,1,5.2,11.5,4.2,44.6,Unmapped,Unmapped,13.2,Low Risk,61.6,Watch
12m,Amazon,Body Care,Protex,General Product,4,20.7,46.1,17.4,51.0,Unmapped,Unmapped,13.1,Low Risk,63.9,Watch
12m,Amazon,Oral Care,Watsons,Dental Floss,3,16.9,35.0,14.4,49.8,Unmapped,Unmapped,13.0,Low Risk,63.7,Watch
12m,Amazon,Body Care,Snake Brand,General Product,1,5.3,11.1,4.5,46.2,Unmapped,Unmapped,12.9,Low Risk,64.9,Watch
12m,Amazon,Skin Care,Sasi,General Product,1,5.2,11.0,4.6,46.6,Unmapped,Unmapped,12.7,Low Risk,64.8,Watch
12m,Amazon,Skin Care,AR,General Product,1,5.8,11.0,4.8,45.3,Unmapped,Unmapped,12.4,Low Risk,63.4,Watch
12m,Amazon,Hair Care,Dove,Shampoo,1,5.7,10.8,4.6,44.6,Unmapped,Unmapped,12.3,Low Risk,63.5,Watch
12m,Amazon,Body Care,Tros,Deodorant & Body Spray,2,11.7,22.0,10.2,48.8,Unmapped,Unmapped,12.2,Low Risk,65.6,Healthy
12m,Amazon,Hair Care,Dove,General Product,6,33.3,64.5,28.8,56.3,Unmapped,Unmapped,12.1,Low Risk,66.0,Healthy
12m,Amazon,Hair Care,Dove,Hair Oil & Serum,2,11.9,22.4,10.6,49.8,Unmapped,Unmapped,12.0,Low Risk,67.4,Healthy
12m,Amazon,Lip,Sasi,Sunscreen,1,6.0,11.3,5.4,47.7,Unmapped,Unmapped,12.0,Low Risk,66.5,Healthy
12m,Amazon,Skin Care,Watsons,Lip Care,1,5.2,9.8,4.6,47.0,Unmapped,Unmapped,12.0,Low Risk,67.1,Healthy
12m,Amazon,Lip,Sasi,Lip Care,1,6.1,11.6,5.5,47.8,Unmapped,Unmapped,11.9,Low Risk,67.7,Healthy
12m,Amazon,Oral Care,Listerine,Mouthwash,3,23.4,33.5,22.0,55.6,Unmapped,Unmapped,11.3,Low Risk,68.6,Healthy
12m,Amazon,Electronics & Travel Accessories,SHIVAMAX,General Product,1,7.1,11.2,6.5,48.4,Unmapped,Unmapped,11.1,Low Risk,68.7,Healthy
12m,Amazon,Hair Care,Sunsilk,Hair Conditioner & Treatment,8,65.8,86.9,62.8,72.1,Unmapped,Unmapped,11.0,Low Risk,68.7,Healthy
12m,Amazon,Body Care,Vaseline,Deodorant & Body Spray,3,22.5,33.4,21.4,55.8,Unmapped,Unmapped,10.8,Low Risk,70.8,Healthy
12m,Amazon,Oral Care,Oral-B,Dental Floss,4,35.1,44.0,34.1,61.4,Unmapped,Unmapped,10.6,Low Risk,71.0,Healthy
12m,Amazon,Health & Wellness,Wangprom,General Product,1,8.2,11.8,7.6,49.7,Unmapped,Unmapped,10.6,Low Risk,70.3,Healthy
12m,Amazon,Hair Care,Pantene,General Product,2,17.9,22.5,17.5,54.7,Unmapped,Unmapped,10.5,Low Risk,70.5,Healthy
12m,Amazon,Oral Care,Colgate,Toothpaste,9,78.1,98.8,74.9,77.1,Unmapped,Unmapped,10.4,Low Risk,70.5,Healthy
12m,Amazon,Skin Care,NEXCARE,General Product,3,26.6,33.2,26.2,58.6,Unmapped,Unmapped,10.3,Low Risk,72.1,Healthy
12m,Amazon,Health & Wellness,Counterpain,Pain Relief,3,28.4,33.7,27.9,58.9,Unmapped,Unmapped,10.2,Low Risk,71.8,Healthy
12m,Amazon,Body Care,Dove,Deodorant & Body Spray,2,18.5,22.6,17.6,54.0,Unmapped,Unmapped,10.0,Low Risk,70.8,Healthy
12m,Amazon,Skin Care,Biore,Sunscreen,1,9.7,12.2,9.2,50.5,Unmapped,Unmapped,10.0,Low Risk,70.9,Healthy
12m,Amazon,Skin Care,Vaseline,Body Scrub,1,9.7,11.5,9.8,52.5,Unmapped,Unmapped,9.8,Low Risk,74.0,Healthy
12m,Amazon,Skin Care,L'Oreal Paris,Face Cleanser,1,9.5,11.2,9.2,51.3,Unmapped,Unmapped,9.8,Low Risk,71.9,Healthy
12m,Amazon,Body Care,Axe,Deodorant & Body Spray,5,50.9,55.1,50.0,67.8,Unmapped,Unmapped,9.7,Low Risk,72.3,Healthy
12m,Amazon,Body Care,Rexona,Deodorant & Body Spray,3,29.1,34.2,28.5,59.3,Unmapped,Unmapped,9.7,Low Risk,73.0,Healthy
12m,Amazon,Body Care,Vaseline,General Product,2,19.4,21.5,19.1,56.0,Unmapped,Unmapped,9.7,Low Risk,73.0,Healthy
12m,Amazon,Skin Care,Nexcare,General Product,1,10.6,12.4,10.4,52.1,Unmapped,Unmapped,9.7,Low Risk,73.1,Healthy
12m,Amazon,Hair Care,Pantene,Hair Conditioner & Treatment,9,100.0,100.0,100.0,88.5,Unmapped,Unmapped,9.4,Low Risk,73.6,Healthy
12m,Amazon,Health & Wellness,Tiger Balm,Pain Relief,2,23.5,24.6,23.7,58.0,Unmapped,Unmapped,9.4,Low Risk,73.9,Healthy
12m,Amazon,Skin Care,Pair,General Product,1,12.1,12.0,11.9,52.7,Unmapped,Unmapped,9.4,Low Risk,72.6,Healthy
12m,Amazon,Oral Care,Watsons,Interdental Brush,1,10.4,10.9,10.2,52.1,Unmapped,Unmapped,9.4,Low Risk,73.6,Healthy
12m,Amazon,Oral Care,Oral-B,Toothpaste,4,42.7,42.8,43.0,65.8,Unmapped,Unmapped,9.3,Low Risk,74.1,Healthy
12m,Amazon,Hair Care,Pantene,Shampoo,2,25.9,25.0,25.7,58.4,Unmapped,Unmapped,9.2,Low Risk,73.6,Healthy
12m,Amazon,Hair Care,SHIVAMAX,Hair Conditioner & Treatment,2,24.1,23.0,24.1,57.9,Unmapped,Unmapped,9.2,Low Risk,73.6,Healthy
12m,Amazon,Hair Care,Vita Keratin,General Product,1,12.1,12.0,12.1,53.4,Unmapped,Unmapped,9.2,Low Risk,74.0,Healthy
12m,Amazon,Skin Care,Vaseline,Face Cleanser,1,10.8,10.7,10.9,52.9,Unmapped,Unmapped,9.2,Low Risk,73.8,Healthy
12m,Amazon,Hair Care,Fino,Hair Oil & Serum,1,10.1,10.1,10.1,52.5,Unmapped,Unmapped,9.2,Low Risk,74.6,Healthy
12m,Amazon,Skin Care,Senka,Face Cleanser,5,60.4,56.9,61.6,73.6,Unmapped,Unmapped,9.1,Low Risk,74.9,Healthy
12m,Amazon,Body Care,Vaseline,Body Wash,3,35.9,33.8,36.3,63.1,Unmapped,Unmapped,9.1,Low Risk,74.5,Healthy
12m,Amazon,Hair Care,Dove,Hair Conditioner & Treatment,3,34.1,32.1,34.3,62.3,Unmapped,Unmapped,9.1,Low Risk,74.4,Healthy
12m,Amazon,Oral Care,Sensodyne,Toothpaste,2,23.3,21.9,23.2,57.7,Unmapped,Unmapped,9.1,Low Risk,73.7,Healthy
12m,Amazon,Hair Care,Pantene,Hair Oil & Serum,1,12.6,11.9,12.6,53.4,Unmapped,Unmapped,9.1,Low Risk,73.6,Healthy
12m,Amazon,Body Care,Vaseline,Body Lotion,1,11.6,10.9,11.7,53.4,Unmapped,Unmapped,9.1,Low Risk,74.6,Healthy
12m,Amazon,Hair Care,Tresemme,Shampoo,1,11.5,10.8,11.5,52.8,Unmapped,Unmapped,9.1,Low Risk,73.6,Healthy
12m,Amazon,Body Care,Dove,General Product,1,11.3,10.7,11.5,53.3,Unmapped,Unmapped,9.1,Low Risk,74.2,Healthy
12m,Amazon,Oral Care,Ora2,Toothpaste,2,25.0,23.5,25.5,59.3,Unmapped,Unmapped,9.0,Low Risk,75.1,Healthy
12m,Amazon,Hair Care,Tresemme,Hair Conditioner & Treatment,2,22.4,21.7,22.9,58.2,Unmapped,Unmapped,9.0,Low Risk,75.3,Healthy
12m,Amazon,Home & Kitchen,Ambi Pur,Air Freshener,1,12.3,11.6,12.5,53.8,Unmapped,Unmapped,9.0,Low Risk,74.7,Healthy
12m,Amazon,Hair Care,Fino,Hair Conditioner & Treatment,1,11.9,11.2,11.9,53.2,Unmapped,Unmapped,9.0,Low Risk,74.9,Healthy
12m,Amazon,Skin Care,Vaseline,Sunscreen,1,11.9,11.3,12.3,54.3,Unmapped,Unmapped,8.9,Low Risk,75.6,Healthy
12m,Flipkart,Electronics & Travel Accessories,SHIVAMAX,Travel Adapter,1,1.5,4.9,1.7,55.1,Unmapped,Unmapped,7.1,Low Risk,85.8,Strong
12m,Flipkart,Health & Wellness,Tiger Balm,Herbal Inhaler,3,5.5,15.2,5.9,55.6,Unmapped,Unmapped,7.0,Low Risk,83.7,Strong
12m,Flipkart,Home & Kitchen,SHIVAMAX,Adhesive Hooks,3,5.3,14.8,5.9,56.0,Unmapped,Unmapped,7.0,Low Risk,85.2,Strong
12m,Flipkart,Home & Kitchen,SHIVAMAX,General Product,1,2.3,5.2,2.5,53.5,Unmapped,Unmapped,6.9,Low Risk,81.7,Strong
12m,Flipkart,Health & Wellness,Wangprom,Herbal Inhaler,1,1.8,4.3,1.9,53.9,Unmapped,Unmapped,6.9,Low Risk,84.1,Strong
12m,Flipkart,Health & Wellness,NOVOLIFE,Herbal Inhaler,1,1.6,5.1,1.8,55.0,Unmapped,Unmapped,6.9,Low Risk,86.6,Strong
12m,Flipkart,Oral Care,Watsons,Floss Picks,6,12.6,29.8,13.9,59.5,Unmapped,Unmapped,6.8,Low Risk,85.4,Strong
12m,Flipkart,Health & Wellness,SHIVAMAX,Herbal Inhaler,4,8.6,20.9,9.6,57.9,Unmapped,Unmapped,6.8,Low Risk,85.6,Strong
12m,Flipkart,Skin Care,Kaowmanee,General Product,1,1.6,4.2,1.7,54.2,Unmapped,Unmapped,6.8,Low Risk,84.4,Strong
12m,Flipkart,Hair Care,Sunsilk,Shampoo,5,10.0,23.9,11.2,59.1,Unmapped,Unmapped,6.7,Low Risk,86.7,Strong
12m,Flipkart,Body Care,Protex,General Product,4,8.6,19.5,9.7,58.2,Unmapped,Unmapped,6.7,Low Risk,86.1,Strong
12m,Flipkart,Oral Care,Watsons,Dental Floss,3,7.0,14.7,7.9,57.1,Unmapped,Unmapped,6.7,Low Risk,85.5,Strong
12m,Flipkart,Lip,Sasi,Lip Care,1,2.5,4.7,2.7,53.9,Unmapped,Unmapped,6.7,Low Risk,83.5,Strong
12m,Meesho,Health & Wellness,NOVOLIFE,Herbal Inhaler,1,1.2,3.9,1.3,54.5,Unmapped,Unmapped,6.7,Low Risk,84.3,Strong
12m,Flipkart,Hair Care,Dove,General Product,6,14.8,29.1,16.5,60.0,Unmapped,Unmapped,6.6,Low Risk,84.2,Strong
12m,Flipkart,Oral Care,Listerine,Mouthwash,3,9.1,13.7,10.1,57.1,Unmapped,Unmapped,6.6,Low Risk,83.6,Strong
12m,Flipkart,Electronics & Travel Accessories,SHIVAMAX,General Product,1,3.5,5.6,3.7,52.9,Unmapped,Unmapped,6.6,Low Risk,81.9,Strong
12m,Flipkart,Skin Care,AR,General Product,1,2.5,4.9,2.9,54.7,Unmapped,Unmapped,6.6,Low Risk,84.6,Strong
12m,Flipkart,Oral Care,Oral-B,Dental Floss,4,15.4,19.9,17.3,60.3,Unmapped,Unmapped,6.5,Low Risk,84.6,Strong
12m,Flipkart,Health & Wellness,Counterpain,Pain Relief,3,11.9,14.7,13.4,58.8,Unmapped,Unmapped,6.5,Low Risk,84.2,Strong
12m,Flipkart,Body Care,Dove,General Product,1,5.2,5.0,5.8,54.1,Unmapped,Unmapped,6.5,Low Risk,81.0,Strong
12m,Flipkart,Skin Care,Vaseline,Face Cleanser,1,4.8,4.9,5.3,54.0,Unmapped,Unmapped,6.5,Low Risk,82.1,Strong
12m,Flipkart,Skin Care,Vaseline,Sunscreen,1,4.8,4.6,5.3,54.5,Unmapped,Unmapped,6.5,Low Risk,82.7,Strong
12m,Flipkart,Body Care,Tros,Deodorant & Body Spray,2,4.5,8.7,5.0,55.3,Unmapped,Unmapped,6.5,Low Risk,84.9,Strong
12m,Flipkart,Skin Care,Nexcare,General Product,1,4.4,5.2,4.9,54.3,Unmapped,Unmapped,6.5,Low Risk,82.9,Strong
12m,Flipkart,Skin Care,Vaseline,Body Scrub,1,4.1,5.0,4.4,53.4,Unmapped,Unmapped,6.5,Low Risk,82.1,Strong
12m,Flipkart,Skin Care,Biore,Sunscreen,1,3.7,4.7,4.1,54.9,Unmapped,Unmapped,6.5,Low Risk,84.4,Strong
12m,Flipkart,Hair Care,Dove,Shampoo,1,2.2,4.2,2.5,55.3,Unmapped,Unmapped,6.5,Low Risk,86.0,Strong
12m,Flipkart,Health & Wellness,Poy Sian,Herbal Inhaler,1,1.7,4.2,2.0,55.3,Unmapped,Unmapped,6.5,Low Risk,87.0,Strong
12m,Flipkart,Oral Care,Colgate,Toothpaste,9,34.7,44.6,39.1,68.9,Unmapped,Unmapped,6.4,Low Risk,84.8,Strong
12m,Flipkart,Hair Care,Sunsilk,Hair Conditioner & Treatment,8,29.5,39.8,34.1,67.9,Unmapped,Unmapped,6.4,Low Risk,86.2,Strong
12m,Flipkart,Body Care,Rexona,Deodorant & Body Spray,3,12.3,14.7,13.7,58.0,Unmapped,Unmapped,6.4,Low Risk,83.4,Strong
12m,Flipkart,Oral Care,Sensodyne,Toothpaste,2,10.6,10.2,11.5,56.4,Unmapped,Unmapped,6.4,Low Risk,82.4,Strong
12m,Flipkart,Hair Care,Pantene,General Product,2,7.4,9.2,8.2,56.1,Unmapped,Unmapped,6.4,Low Risk,84.5,Strong
12m,Flipkart,Hair Care,Pantene,Hair Oil & Serum,1,5.2,5.0,5.6,53.5,Unmapped,Unmapped,6.4,Low Risk,81.6,Strong
12m,Flipkart,Hair Care,Dove,Hair Oil & Serum,2,5.1,9.8,5.9,57.2,Unmapped,Unmapped,6.4,Low Risk,87.2,Strong
12m,Flipkart,Hair Care,Vita Keratin,General Product,1,4.5,4.5,4.9,53.8,Unmapped,Unmapped,6.4,Low Risk,83.4,Strong
12m,Flipkart,Skin Care,Watsons,Lip Care,1,2.5,4.9,2.9,55.7,Unmapped,Unmapped,6.4,Low Risk,87.4,Strong
12m,Flipkart,Body Care,Snake Brand,General Product,1,2.2,4.7,2.6,56.8,Unmapped,Unmapped,6.4,Low Risk,88.9,Strong
12m,Flipkart,Hair Care,Pantene,Hair Conditioner & Treatment,9,42.6,43.5,48.0,72.2,Unmapped,Unmapped,6.3,Low Risk,84.3,Strong
12m,Flipkart,Body Care,Axe,Deodorant & Body Spray,5,23.1,25.6,26.4,64.1,Unmapped,Unmapped,6.3,Low Risk,85.2,Strong
12m,Flipkart,Hair Care,Dove,Hair Conditioner & Treatment,3,16.7,16.1,19.0,60.8,Unmapped,Unmapped,6.3,Low Risk,84.5,Strong
12m,Flipkart,Body Care,Vaseline,Body Wash,3,15.6,15.0,17.5,59.7,Unmapped,Unmapped,6.3,Low Risk,84.1,Strong
12m,Flipkart,Skin Care,NEXCARE,General Product,3,11.6,14.7,13.3,59.0,Unmapped,Unmapped,6.3,Low Risk,85.3,Strong
12m,Flipkart,Body Care,Vaseline,Deodorant & Body Spray,3,10.4,15.7,12.1,59.8,Unmapped,Unmapped,6.3,Low Risk,87.5,Strong
12m,Flipkart,Health & Wellness,Tiger Balm,Pain Relief,2,8.9,9.5,10.0,56.7,Unmapped,Unmapped,6.3,Low Risk,84.0,Strong
12m,Meesho,Health & Wellness,SHIVAMAX,Herbal Inhaler,4,6.4,16.2,7.2,57.2,Unmapped,Unmapped,6.3,Low Risk,85.9,Strong
12m,Flipkart,Hair Care,Fino,Hair Conditioner & Treatment,1,5.0,4.8,5.7,55.2,Unmapped,Unmapped,6.3,Low Risk,83.6,Strong
12m,Flipkart,Skin Care,Pair,General Product,1,4.7,4.8,5.2,54.0,Unmapped,Unmapped,6.3,Low Risk,82.9,Strong
12m,Flipkart,Hair Care,Fino,Hair Oil & Serum,1,4.3,4.4,4.9,55.9,Unmapped,Unmapped,6.3,Low Risk,85.3,Strong
12m,Flipkart,Skin Care,L'Oreal Paris,Face Cleanser,1,4.1,4.9,4.7,55.2,Unmapped,Unmapped,6.3,Low Risk,85.0,Strong
12m,Flipkart,Health & Wellness,Wangprom,General Product,1,2.7,3.9,3.1,55.4,Unmapped,Unmapped,6.3,Low Risk,86.7,Strong
12m,Meesho,Electronics & Travel Accessories,SHIVAMAX,Travel Adapter,1,1.1,3.6,1.2,55.5,Unmapped,Unmapped,6.3,Low Risk,86.1,Strong
12m,Flipkart,Skin Care,Senka,Face Cleanser,5,25.6,24.7,29.5,65.6,Unmapped,Unmapped,6.2,Low Risk,85.7,Strong
12m,Flipkart,Oral Care,Oral-B,Toothpaste,4,20.3,20.8,23.2,63.0,Unmapped,Unmapped,6.2,Low Risk,85.7,Strong
12m,Flipkart,Oral Care,Ora2,Toothpaste,2,10.6,10.2,12.2,58.7,Unmapped,Unmapped,6.2,Low Risk,85.9,Strong
12m,Flipkart,Hair Care,Pantene,Shampoo,2,10.4,10.3,11.8,57.9,Unmapped,Unmapped,6.2,Low Risk,85.3,Strong
12m,Flipkart,Hair Care,SHIVAMAX,Hair Conditioner & Treatment,2,10.3,10.1,11.8,58.0,Unmapped,Unmapped,6.2,Low Risk,84.7,Strong
12m,Flipkart,Hair Care,Tresemme,Hair Conditioner & Treatment,2,10.0,9.9,11.5,58.3,Unmapped,Unmapped,6.2,Low Risk,85.3,Strong
12m,Flipkart,Body Care,Vaseline,General Product,2,8.7,10.0,10.1,58.3,Unmapped,Unmapped,6.2,Low Risk,86.2,Strong
12m,Flipkart,Body Care,Dove,Deodorant & Body Spray,2,8.0,10.0,9.2,57.7,Unmapped,Unmapped,6.2,Low Risk,86.2,Strong
12m,Flipkart,Home & Kitchen,Ambi Pur,Air Freshener,1,5.0,4.8,5.7,55.7,Unmapped,Unmapped,6.2,Low Risk,84.2,Strong
12m,Flipkart,Body Care,Vaseline,Body Lotion,1,4.8,4.6,5.6,56.0,Unmapped,Unmapped,6.2,Low Risk,85.7,Strong
12m,Meesho,Home & Kitchen,SHIVAMAX,Adhesive Hooks,3,3.7,10.7,4.3,57.3,Unmapped,Unmapped,6.2,Low Risk,87.1,Strong
12m,Meesho,Health & Wellness,Tiger Balm,Herbal Inhaler,3,3.6,10.3,4.1,56.9,Unmapped,Unmapped,6.2,Low Risk,87.2,Strong
12m,Flipkart,Skin Care,Sasi,General Product,1,2.3,5.0,2.7,56.8,Unmapped,Unmapped,6.2,Low Risk,89.0,Strong
12m,Flipkart,Lip,Sasi,Sunscreen,1,2.2,4.2,2.6,56.2,Unmapped,Unmapped,6.2,Low Risk,87.8,Strong
12m,Meesho,Skin Care,Kaowmanee,General Product,1,1.3,3.8,1.5,56.6,Unmapped,Unmapped,6.2,Low Risk,88.0,Strong
12m,Meesho,Oral Care,Watsons,Floss Picks,6,9.4,23.2,10.8,59.8,Unmapped,Unmapped,6.1,Low Risk,87.2,Strong
12m,Meesho,Hair Care,Sunsilk,Shampoo,5,7.6,19.2,8.6,58.1,Unmapped,Unmapped,6.1,Low Risk,86.1,Strong
12m,Meesho,Body Care,Protex,General Product,4,6.2,14.9,7.1,57.6,Unmapped,Unmapped,6.1,Low Risk,86.7,Strong
12m,Flipkart,Hair Care,Tresemme,Shampoo,1,4.9,4.7,5.7,56.3,Unmapped,Unmapped,6.1,Low Risk,86.7,Strong
12m,Meesho,Lip,Sasi,Sunscreen,1,2.2,4.4,2.5,55.7,Unmapped,Unmapped,6.1,Low Risk,86.9,Strong
12m,Meesho,Home & Kitchen,SHIVAMAX,General Product,1,1.5,3.6,1.7,55.7,Unmapped,Unmapped,6.1,Low Risk,87.1,Strong
12m,Meesho,Health & Wellness,Wangprom,Herbal Inhaler,1,1.4,3.5,1.5,55.3,Unmapped,Unmapped,6.1,Low Risk,88.0,Strong
12m,Meesho,Oral Care,Listerine,Mouthwash,3,6.9,11.3,7.8,56.9,Unmapped,Unmapped,6.0,Low Risk,85.9,Strong
12m,Meesho,Health & Wellness,Tiger Balm,Pain Relief,2,6.7,7.5,7.5,56.5,Unmapped,Unmapped,6.0,Low Risk,83.9,Strong
12m,Flipkart,Oral Care,Watsons,Interdental Brush,1,4.8,5.0,5.6,57.1,Unmapped,Unmapped,6.0,Low Risk,88.3,Strong
12m,Meesho,Skin Care,Vaseline,Face Cleanser,1,3.6,3.8,3.9,53.9,Unmapped,Unmapped,6.0,Low Risk,83.2,Strong
12m,Meesho,Hair Care,Tresemme,Shampoo,1,3.4,3.4,3.8,54.8,Unmapped,Unmapped,6.0,Low Risk,83.6,Strong
