transaction_month,dataset_period,marketplace,channel,public_product_id,brand_group,category_group,subcategory_group,product_group,fulfillment_type,state_group,origin_country_group,imported_flag,listing_price_band,inventory_band,margin_band_public,channel_margin_band_public,profitability_band_public,transaction_type_group,sales_index,units_index,fee_pct_of_gross,refund_pct_of_gross,promotion_pct_of_gross,net_to_gross_pct,margin_index,estimated_profitability_index,margin_risk_score,margin_risk_band,revenue_quality_score,revenue_quality_band,recommended_action,action_priority,action_reason,mapping_status
2025-07,12m,Amazon,Amazon,NON_PRODUCT_ACTIVITY,Non-product Activity,Non-product Activity,Non-product Activity,Non-product Activity,FBA,Unknown,Imported / Other,Unknown,Unknown,Unknown,Not Applicable,Not Applicable,Not Applicable,Adjustment,0.0,0.0,0.0,0.0,0.0,0.0,,,,Not Applicable,,Not Applicable,Monitor,Low,No action threshold triggered; continue monitoring.,Non-product
2025-07,12m,Amazon,Amazon,NON_PRODUCT_ACTIVITY,Non-product Activity,Non-product Activity,Non-product Activity,Non-product Activity,FBA,Unknown,Imported / Other,Unknown,Unknown,Unknown,Not Applicable,Not Applicable,Not Applicable,Adjustment,0.0,0.0,0.0,0.0,0.0,0.0,,,,Not Applicable,,Not Applicable,Monitor,Low,No action threshold triggered; continue monitoring.,Non-product
2025-07,12m,Amazon,Amazon,NON_PRODUCT_ACTIVITY,Non-product Activity,Non-product Activity,Non-product Activity,Non-product Activity,FBA,Unknown,Imported / Other,Unknown,Unknown,Unknown,Not Applicable,Not Applicable,Not Applicable,Adjustment,0.0,0.0,0.0,0.0,0.0,0.0,,,,Not Applicable,,Not Applicable,Monitor,Low,No action threshold triggered; continue monitoring.,Non-product
2025-07,12m,Amazon,Amazon,NON_PRODUCT_ACTIVITY,Non-product Activity,Non-product Activity,Non-product Activity,Non-product Activity,FBA,Unknown,Imported / Other,Unknown,Unknown,Unknown,Not Applicable,Not Applicable,Not Applicable,Adjustment,0.0,0.0,0.0,0.0,0.0,0.0,,,,Not Applicable,,Not Applicable,Monitor,Low,No action threshold triggered; continue monitoring.,Non-product
2025-07,12m,Amazon,Amazon,NON_PRODUCT_ACTIVITY,Non-product Activity,Non-product Activity,Non-product Activity,Non-product Activity,FBA,Unknown,Imported / Other,Unknown,Unknown,Unknown,Not Applicable,Not Applicable,Not Applicable,Adjustment,0.0,0.0,0.0,0.0,0.0,0.0,,,,Not Applicable,,Not Applicable,Monitor,Low,No action threshold triggered; continue monitoring.,Non-product
2025-07,12m,Amazon,Amazon,NON_PRODUCT_ACTIVITY,Non-product Activity,Non-product Activity,Non-product Activity,Non-product Activity,FBA,Unknown,Imported / Other,Unknown,Unknown,Unknown,Not Applicable,Not Applicable,Not Applicable,Adjustment,0.0,0.0,0.0,0.0,0.0,0.0,,,,Not Applicable,,Not Applicable,Monitor,Low,No action threshold triggered; continue monitoring.,Non-product
2025-07,12m,Amazon,Amazon,NON_PRODUCT_ACTIVITY,Non-product Activity,Non-product Activity,Non-product Activity,Non-product Activity,FBA,Unknown,Imported / Other,Unknown,Unknown,Unknown,Not Applicable,Not Applicable,Not Applicable,Adjustment,0.0,0.0,0.0,0.0,0.0,0.0,,,,Not Applicable,,Not Applicable,Monitor,Low,No action threshold triggered; continue monitoring.,Non-product
2025-07,12m,Amazon,Amazon,NON_PRODUCT_ACTIVITY,Non-product Activity,Non-product Activity,Non-product Activity,Non-product Activity,FBA,Unknown,Imported / Other,Unknown,Unknown,Unknown,Not Applicable,Not Applicable,Not Applicable,Adjustment,0.0,0.0,0.0,0.0,0.0,0.0,,,,Not Applicable,,Not Applicable,Monitor,Low,No action threshold triggered; continue monitoring.,Non-product
2025-07,12m,Amazon,Amazon,NON_PRODUCT_ACTIVITY,Non-product Activity,Non-product Activity,Non-product Activity,Non-product Activity,FBA,Unknown,Imported / Other,Unknown,Unknown,Unknown,Not Applicable,Not Applicable,Not Applicable,Adjustment,0.0,0.0,0.0,0.0,0.0,0.0,,,,Not Applicable,,Not Applicable,Monitor,Low,No action threshold triggered; continue monitoring.,Non-product
2025-07,12m,Amazon,Amazon,NON_PRODUCT_ACTIVITY,Non-product Activity,Non-product Activity,Non-product Activity,Non-product Activity,FBA,Unknown,Imported / Other,Unknown,Unknown,Unknown,Not Applicable,Not Applicable,Not Applicable,Adjustment,0.0,0.0,0.0,0.0,0.0,0.0,,,,Not Applicable,,Not Applicable,Monitor,Low,No action threshold triggered; continue monitoring.,Non-product
2025-07,12m,Amazon,Amazon,NON_PRODUCT_ACTIVITY,Non-product Activity,Non-product Activity,Non-product Activity,Non-product Activity,FBA,Unknown,Imported / Other,Unknown,Unknown,Unknown,Not Applicable,Not Applicable,Not Applicable,Adjustment,0.0,0.0,0.0,0.0,0.0,0.0,,,,Not Applicable,,Not Applicable,Monitor,Low,No action threshold triggered; continue monitoring.,Non-product
2025-07,12m,Amazon,Amazon,NON_PRODUCT_ACTIVITY,Non-product Activity,Non-product Activity,Non-product Activity,Non-product Activity,FBA,Unknown,Imported / Other,Unknown,Unknown,Unknown,Not Applicable,Not Applicable,Not Applicable,Fba Inventory Fee,0.0,0.0,0.0,0.0,0.0,0.0,,,,Not Applicable,,Not Applicable,Monitor,Low,No action threshold triggered; continue monitoring.,Non-product
2025-07,12m,Amazon,Amazon,NON_PRODUCT_ACTIVITY,Non-product Activity,Non-product Activity,Non-product Activity,Non-product Activity,FBA,Unknown,Imported / Other,Unknown,Unknown,Unknown,Not Applicable,Not Applicable,Not Applicable,Fba Inventory Fee,0.0,0.0,0.0,0.0,0.0,0.0,,,,Not Applicable,,Not Applicable,Monitor,Low,No action threshold triggered; continue monitoring.,Non-product
2025-07,12m,Amazon,Amazon,NON_PRODUCT_ACTIVITY,Non-product Activity,Non-product Activity,Non-product Activity,Non-product Activity,FBA,Unknown,Imported / Other,Unknown,Unknown,Unknown,Not Applicable,Not Applicable,Not Applicable,Fba Inventory Fee,0.0,0.0,0.0,0.0,0.0,0.0,,,,Not Applicable,,Not Applicable,Monitor,Low,No action threshold triggered; continue monitoring.,Non-product
2025-07,12m,Amazon,Marketplace,P0758,Sasi,Lip,Sunscreen,Sunscreen,FBA,Maharashtra,Imported / Other,Unknown,<500,Very Low / 1-2,Unmapped,Unmapped,Unmapped,Order,30.0,66.7,31.5,0.0,5.0,68.2,20.2,50.4,12.0,Low Risk,58.0,Watch,Fee Review,High,High sales-index product with elevated fee percentage.,Unmapped
2025-07,12m,Amazon,Marketplace,P0546,Ora2,Oral Care,Toothpaste,Toothpaste,FBA,Kerala,Imported / Other,Unknown,500-999,Out of Stock / 0,Unmapped,Unmapped,Unmapped,Order,28.9,33.3,24.5,0.0,0.0,91.4,23.1,62.3,8.6,Low Risk,84.1,Strong,Monitor,Low,No action threshold triggered; continue monitoring.,Unmapped
2025-07,12m,Amazon,Marketplace,P1048,Sunsilk,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,FBA,Tamil Nadu,Imported / Other,Unknown,500-999,Out of Stock / 0,Unmapped,Unmapped,Unmapped,Order,31.2,33.3,26.0,0.0,10.0,76.5,21.1,54.6,10.6,Low Risk,67.2,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.,Unmapped
2025-07,12m,Amazon,Marketplace,P0259,Dove,Hair Care,General / Uncategorized,General Product,FBA,Tamil Nadu,Imported / Other,Unknown,<500,Very High / 51+,Unmapped,Unmapped,Unmapped,Order,14.2,33.3,30.8,0.0,8.0,65.9,9.2,44.9,12.6,Low Risk,55.5,Watch,Monitor,Low,No action threshold triggered; continue monitoring.,Unmapped
2025-07,12m,Amazon,Marketplace,P0565,Pair,Skin Care,General / Uncategorized,General Product,FBA,Jammu & Kashmir,Imported / Other,Unknown,500-999,Out of Stock / 0,Unmapped,Unmapped,Unmapped,Order,28.7,33.3,27.0,0.0,5.0,77.0,20.7,54.8,10.2,Low Risk,68.2,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.,Unmapped
2025-07,12m,Amazon,Marketplace,P1251,Watsons,Oral Care,Dental Floss Picks,Floss Picks,FBA,Maharashtra,Imported / Other,Unknown,<500,Out of Stock / 0,Unmapped,Unmapped,Unmapped,Order,10.5,33.3,34.7,0.0,8.0,62.0,6.4,41.6,14.5,Low Risk,50.4,Watch,Monitor,Low,No action threshold triggered; continue monitoring.,Unmapped
2025-07,12m,Amazon,Marketplace,P0271,Dove,Hair Care,General / Uncategorized,General Product,FBA,Karnataka,Imported / Other,Unknown,<500,Out of Stock / 0,Unmapped,Unmapped,Unmapped,Order,16.1,33.3,34.4,0.0,0.0,87.4,11.2,54.5,12.0,Low Risk,77.1,Healthy,Monitor,Low,No action threshold triggered; continue monitoring.,Unmapped
